元素記号,,,
元素,化合物,,
受験向け,一般,,
H,水素,元素,受験向け
He,ヘリウム,元素,受験向け
Li,リチウム,元素,受験向け
Be,ベリウム,元素,受験向け
B,ホウ素,元素,受験向け
C,炭素,元素,受験向け
N,窒素,元素,受験向け
O,酸素,元素,受験向け
F,フッ素,元素,受験向け
Ne,ネオン,元素,受験向け
Na,ナトリウム,元素,受験向け
Mg,マグネシウム,元素,受験向け
Aｌ,アルミニウム,元素,受験向け
Si,ケイ素,元素,受験向け
P,リン,元素,受験向け
S,硫黄,元素,受験向け
Cl,塩素,元素,受験向け
Ar,アルゴン,元素,受験向け
K,カリウム,元素,受験向け
Ca,カルシウム,元素,受験向け
Sc,スカンジウム,元素,受験向け
Ti,チタン,元素,受験向け
V,バナジウム,元素,受験向け
Cr,クロム,元素,受験向け
Mn,マンガン,元素,受験向け
Fe,鉄,元素,受験向け
Co,コバルト,元素,受験向け
Ni,ニッケル,元素,受験向け
Cu,銅,元素,受験向け
Zn,亜鉛,元素,受験向け
Ga,ガリウム,元素,受験向け
Ge,ゲルマニウム,元素,受験向け
As,ヒ素,元素,受験向け
Se,セレン,元素,受験向け
Br,臭素,元素,受験向け
Kr,クリプトン,元素,受験向け
Rb,ルビジウム,元素,一般
Sr,ストロンチウム,元素,一般
Y,イットリウム,元素,一般
Zr,ジルコニウム,元素,一般
Nb,ニオブ,元素,一般
Mo,モリブデン,元素,一般
Tc,テクネチウム,元素,一般
Ru,ルテニウム,元素,一般
Rh,ロジウム,元素,一般
Pd,パラジウム,元素,一般
Ag,銀,元素,一般
Cd,カドミウム,元素,一般
In,インジウム,元素,一般
Sn,スズ,元素,一般
Sb,アンチモン,元素,一般
Te,テルル,元素,一般
I,ヨウ素,元素,一般
Xe,キセノン,元素,一般
