日英TAT200
名詞,動詞,助動詞,形容詞,副詞,前置詞,接続詞,熟語
一般
正確さ，精度,accuracy,名詞,,,,,
活性化する,activate,動詞,,,,,
実際の,actual,形容詞,,,,,
鋭い，激しい,acute,形容詞,,,,,
加算,addition,名詞,,,,,
～に影響を与える,affect,動詞,,,,,
増幅する，拡大[拡張]する,amplify,動詞,,,,,
適用する，応用する,apply,動詞,,,,,
おおよそ,approximately,副詞,,,,,
人工の,artificial,形容詞,,,,,
集める，組み立てる,assemble,動詞,,,,,
非対称,asymmetry,名詞,,,,,
自動式の,automatic,形容詞,,,,,
～と共存[共用]できる,be compatible with,熟語,,,,,
～から成り立つ，構成される,be composed of,熟語,,,,,
～と関係がある,be connected to,熟語,,,,,
～を装備[搭載]している,be equipped with,熟語,,,,,
～と同等である，対応する,be equivalent to,熟語,,,,,
～にさらされる,be exposed to,熟語,,,,,
～からできている,be made from/of/ up of,熟語,,,,,
～に比例した，釣り合った,be proportional to,熟語,,,,,
～の影響を受ける,be subject to,熟語,,,,,
～よりも優れている,be superor to,熟語,,,,,
AをBで結ぶ,bind A with B,熟語,,,,,
計算する,calculate,動詞,,,,,
主要な,capital,形容詞,,,,,
AをBに変える,change A (in_)to B,熟語,,,,,
課す，負わせる，[充電する],charge,動詞,,,,,
化学の,chemical,形容詞,,,,,
循環,circulation,名詞,,,,,
状況，環境,circumstance,名詞,,,,,
燃焼,combustion,名詞,,,,,
伝えること[通信，伝達，連絡],communication,名詞,,,,,
AとBとを比較する,compare A with/ to B,熟語,,,,,
構成要素，成分,component,名詞,,,,,
押しつける[圧縮，詰め込む],compress,動詞,,,,,
計算，コンピュータ操作,computation,名詞,,,,,
凝縮[圧縮]する,condense,動詞,,,,,
導く[誘導，伝導，管理]する,conduct,動詞,,,,,
保存,conservation,名詞,,,,,
～から成り立っている,consist of,熟語,,,,,
不変の，一定の,constant,形容詞,,,,,
構成する，組み立てる,construct,動詞,,,,,
制御する,control,動詞,,,,,
議論の余地がある,controversial,形容詞,,,,,
修正，補正,correction,名詞,,,,,
結果的に～になる,culminate,動詞,,,,,
累積的な,cumulative,形容詞,,,,,
分解する,decompose,動詞,,,,,
減少する,decrease,動詞,,,,,
減少,decrease,名詞,,,,,
欠陥のある，不完全な,defective,形容詞,,,,,
落とす，減らす，退化させる,degrade,動詞,,,,,
需要，要求,demand,名詞,,,,,
要求する,demand,動詞,,,,,
密度,density,名詞,,,,,
描く，叙述する,depict,動詞,,,,,
使い果たす，激減させる,deplete,動詞,,,,,
見つける[検知，探知する],detect,動詞,,,,,
開発，進展，展開する,develop,動詞,,,,,
装置,device,名詞,,,,,
AをBと区別する,differentiate A from B,熟語,,,,,
デジタルの,digital,形容詞,,,,,
大きさ，特性，要因，次元,dimension,名詞,,,,,
方向,direction,名詞,,,,,
出す[放電，発射，排出]する,discharge,動詞,,,,,
放電，発射，排出物,discharge,名詞,,,,,
表示する,display,動詞,,,,,
溶かす[溶解，融解，液化する],dissolve,動詞,,,,,
